,img_name,category,beauty_scores,score
0,5194879628.jpg,urban,"[3, 3, 3, 3, 4]",2
1,5667698922.jpg,nature,"[3, 3, 3, 3, 3]",2
2,7358777592.jpg,people,"[4, 4, 4, 3, 2]",2
3,3277456063.jpg,animals,"[4, 4, 4, 4, 4]",3
4,5866178106.jpg,nature,"[3, 4, 3, 3, 3]",2
5,4426334761.jpg,animals,"[3, 5, 5, 2, 3]",3
6,7864498360.jpg,animals,"[4, 4, 4, 4, 4]",3
7,7864680486.jpg,people,"[4, 4, 4, 3, 4]",3
8,4518620887.jpg,animals,"[3, 4, 3, 4, 4]",3
9,8120965926.jpg,animals,"[3, 3, 3, 4, 3]",2
10,4106530301.jpg,nature,"[3, 3, 3, 3, 3]",2
11,7688453454.jpg,nature,"[4, 4, 3, 3, 4]",3
12,8227705.jpg,animals,"[2, 1, 2, 2, 2]",1
13,4780856710.jpg,urban,"[3, 3, 3, 3, 3, 3]",2
14,3399989303.jpg,people,"[3, 3, 3, 3, 3, 3, 3, 4, 3, 4]",2
15,3621844364.jpg,animals,"[4, 5, 5, 4, 5]",4
16,8445852562.jpg,urban,"[3, 4, 3, 3, 4]",2
17,7589377862.jpg,animals,"[4, 4, 4, 4, 5]",3
18,2518287686.jpg,people,"[4, 3, 2, 3, 3]",2
19,49021903.jpg,animals,"[4, 5, 5, 3, 5]",3
20,4392058600.jpg,animals,"[3, 3, 3, 3, 3, 3]",2
21,6107793245.jpg,people,"[3, 3, 3, 4, 3]",2
22,2269532383.jpg,people,"[2, 3, 3, 2, 2]",1
23,7984621328.jpg,urban,"[5, 3, 3, 4, 4]",3
24,2245922742.jpg,urban,"[3, 3, 3, 3, 3, 3, 3]",2
25,2712955792.jpg,urban,"[4, 4, 4, 5, 4, 5]",3
26,210138169.jpg,nature,"[4, 3, 3, 3, 3]",2
27,8093521898.jpg,nature,"[2, 3, 3, 3, 3, 3]",2
28,7316739294.jpg,nature,"[4, 5, 3, 4, 4]",3
29,3458162113.jpg,animals,"[3, 3, 3, 3, 4, 5]",3
30,3694710426.jpg,people,"[3, 3, 3, 3, 4]",2
31,5796807545.jpg,people,"[2, 3, 3, 3, 3]",2
32,4628381181.jpg,animals,"[3, 4, 4, 3, 3, 3]",2
33,5982317572.jpg,animals,"[3, 4, 5, 4, 3]",3
34,1776984971.jpg,urban,"[3, 4, 3, 4, 3]",2
35,7493980412.jpg,nature,"[3, 3, 3, 3, 4]",2
36,267409272.jpg,nature,"[4, 4, 3, 3, 4]",3
37,4574835807.jpg,urban,"[3, 4, 3, 4, 3, 3]",2
38,3191428445.jpg,urban,"[4, 3, 5, 3, 3, 3, 3, 4, 3, 2]",2
39,2210884343.jpg,urban,"[3, 4, 4, 3, 3]",2
40,3387876484.jpg,nature,"[4, 3, 5, 2, 4]",3
