,Unnamed: 0,img_name,category,beauty_scores,score
1061,1061,6474096591.jpg,animals,"[4, 4, 5, 4, 4]",3
6482,6482,8119431879.jpg,nature,"[4, 3, 3, 3, 3]",2
8396,8396,5145821127.jpg,people,"[4, 5, 4, 4, 4]",3
4659,4659,4233634200.jpg,animals,"[3, 3, 3, 3, 3]",2
7386,7386,8349202070.jpg,animals,"[5, 5, 4, 4, 4]",3
6607,6607,4270807296.jpg,animals,"[4, 4, 5, 5, 3]",3
8482,8482,6041018993.jpg,nature,"[4, 3, 3, 3, 4]",2
4590,4590,4307621992.jpg,people,"[4, 4, 3, 3, 2]",2
7917,7917,4135359884.jpg,nature,"[4, 3, 4, 3, 3]",2
12627,12627,8185351844.jpg,urban,"[5, 5, 4, 3, 4]",3
12554,12554,1710936668.jpg,urban,"[4, 4, 4, 4, 4]",3
3290,3290,6820765439.jpg,urban,"[3, 2, 2, 3, 3]",2
1684,1684,2354677496.jpg,animals,"[4, 3, 3, 5, 4, 3]",3
9303,9303,7800980606.jpg,people,"[4, 4, 5, 4, 4]",3
11842,11842,6266659661.jpg,urban,"[3, 3, 3, 3, 3]",2
6929,6929,2261362483.jpg,nature,"[4, 3, 3, 4, 3, 3, 3, 4, 4, 4]",3
3941,3941,6527945497.jpg,nature,"[3, 4, 4, 3, 3]",2
10432,10432,6908924943.jpg,urban,"[2, 4, 2, 2, 4, 3]",2
7012,7012,1473403345.jpg,nature,"[3, 3, 3, 4, 3]",2
11238,11238,2459724341.jpg,people,"[3, 3, 4, 3, 4]",2
12223,12223,5625394104.jpg,nature,"[3, 3, 3, 3, 3]",2
9915,9915,4106858442.jpg,animals,"[3, 4, 4, 4, 3, 4, 4, 4, 4, 4]",3
12548,12548,5265795912.jpg,people,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2
99,99,3708657552.jpg,nature,"[5, 4, 4, 4, 4, 4, 4, 4, 3, 3, 5, 5, 4, 4, 4]",3
8617,8617,3403971895.jpg,animals,"[3, 4, 5, 5, 3]",3
8936,8936,6169311659.jpg,nature,"[3, 3, 3, 3, 3, 5, 3, 3, 4, 4]",2
6178,6178,6063403279.jpg,people,"[3, 4, 3, 3, 3]",2
8842,8842,6088073315.jpg,nature,"[4, 5, 3, 3, 3]",3
2308,2308,4480387108.jpg,nature,"[3, 4, 3, 3, 4]",2
353,353,1805615841.jpg,nature,"[3, 3, 3, 4, 3]",2
10425,10425,7003239090.jpg,animals,"[3, 4, 3, 3, 3]",2
4404,4404,8389419202.jpg,nature,"[4, 3, 3, 3, 3]",2
12299,12299,5278465433.jpg,nature,"[4, 4, 4, 4, 3]",3
2483,2483,5930398099.jpg,animals,"[4, 4, 4, 4, 4]",3
2144,2144,4782564199.jpg,animals,"[3, 2, 3, 3, 3]",2
8077,8077,144577104.jpg,animals,"[4, 4, 5, 3, 4, 3, 4, 3, 3, 4]",3
5554,5554,2866243785.jpg,people,"[3, 3, 3, 3, 3]",2
10851,10851,4850830868.jpg,urban,"[4, 4, 4, 3, 3, 3, 3, 3, 4, 3]",2
4315,4315,4641854308.jpg,animals,"[2, 3, 3, 3, 3]",2
9745,9745,98557412.jpg,urban,"[3, 2, 3, 4, 2]",2
8440,8440,8472456312.jpg,people,"[4, 4, 4, 5, 4]",3
9484,9484,4334738280.jpg,animals,"[3, 3, 4, 5, 3, 3, 3]",2
13034,13034,5578328966.jpg,nature,"[3, 2, 3, 3, 3]",2
2704,2704,6949862524.jpg,urban,"[3, 3, 4, 3, 3]",2
10496,10496,5207492324.jpg,animals,"[3, 3, 3, 3, 2]",2
2348,2348,2613424677.jpg,urban,"[3, 3, 3, 3, 3]",2
12562,12562,100706399.jpg,nature,"[3, 3, 4, 3, 4]",2
5960,5960,6857858854.jpg,nature,"[2, 2, 4, 4, 4]",2
11719,11719,5893439140.jpg,animals,"[3, 3, 2, 3, 3, 3]",2
3963,3963,3269152917.jpg,people,"[2, 3, 3, 3, 3]",2
9365,9365,5472198368.jpg,nature,"[3, 3, 3, 3, 2]",2
12082,12082,3973145077.jpg,urban,"[4, 5, 4, 3, 3]",3
6392,6392,6923323192.jpg,people,"[3, 3, 3, 3, 3]",2
2420,2420,8317023703.jpg,nature,"[4, 4, 5, 5, 4, 4, 5, 5, 5, 5]",4
3684,3684,370308234.jpg,urban,"[3, 3, 3, 3, 2]",2
10061,10061,6160416378.jpg,animals,"[3, 3, 4, 3, 4]",2
10072,10072,287453286.jpg,nature,"[3, 4, 3, 3, 3]",2
11840,11840,4887902977.jpg,urban,"[3, 3, 3, 3, 4]",2
11676,11676,4600778270.jpg,animals,"[5, 4, 4, 3, 3]",3
6551,6551,1150810213.jpg,nature,"[3, 3, 3, 3, 3]",2
10332,10332,4035768954.jpg,urban,"[4, 4, 3, 3, 4, 4, 3, 3, 3, 3]",2
13266,13266,356054738.jpg,animals,"[3, 3, 3, 3, 3]",2
2470,2470,7387609278.jpg,urban,"[3, 3, 4, 3, 4]",2
4743,4743,2051848829.jpg,nature,"[3, 3, 3, 3, 3]",2
2753,2753,6885058586.jpg,people,"[4, 5, 4, 4, 4]",3
1320,1320,2837707744.jpg,urban,"[3, 4, 3, 4, 4]",3
7559,7559,5473105821.jpg,people,"[5, 5, 4, 3, 4]",3
6927,6927,8457463373.jpg,animals,"[3, 4, 4, 4, 4]",3
6377,6377,6993359289.jpg,animals,"[3, 3, 4, 3, 3, 3]",2
3680,3680,347928333.jpg,urban,"[4, 3, 3, 4, 4]",3
10994,10994,3885060439.jpg,urban,"[3, 3, 3, 2, 3]",2
9035,9035,3542675701.jpg,nature,"[3, 3, 3, 1, 3]",2
13330,13330,4574885117.jpg,nature,"[4, 3, 4, 3, 2]",2
102,102,270891582.jpg,nature,"[3, 4, 4, 4, 3, 3, 3, 3, 3, 3]",2
10707,10707,4026926883.jpg,nature,"[4, 4, 3, 3, 3]",2
993,993,3272042430.jpg,animals,"[3, 3, 3, 4, 3, 3, 3]",2
10865,10865,3666456457.jpg,animals,"[3, 4, 4, 5, 4]",3
6545,6545,5996627958.jpg,urban,"[4, 4, 5, 4, 4]",3
6817,6817,4757833512.jpg,nature,"[3, 4, 3, 3, 4]",2
1626,1626,94987425.jpg,nature,"[3, 4, 3, 4, 3]",2
10392,10392,4375728806.jpg,animals,"[3, 3, 3, 4, 4]",2
13172,13172,426688160.jpg,urban,"[3, 4, 3, 3, 4]",2
8614,8614,5418380048.jpg,urban,"[3, 5, 4, 4, 4]",3
1197,1197,8109668382.jpg,urban,"[4, 3, 3, 3, 4]",2
12162,12162,4869527072.jpg,nature,"[3, 4, 3, 4, 3, 3]",2
518,518,179767060.jpg,nature,"[3, 3, 3, 3, 3]",2
3231,3231,4309810841.jpg,nature,"[3, 3, 4, 3, 3]",2
4165,4165,7564325198.jpg,urban,"[3, 3, 3, 3, 3, 3]",2
181,181,4970681991.jpg,nature,"[3, 2, 2, 2, 3]",1
6661,6661,92395757.jpg,animals,"[3, 5, 4, 4, 4, 4, 5]",3
5079,5079,5649855726.jpg,nature,"[3, 3, 4, 3, 4]",2
7507,7507,7940902900.jpg,nature,"[3, 3, 3, 3, 4]",2
5424,5424,133952547.jpg,urban,"[1, 2, 2, 1, 2]",1
7021,7021,3302096633.jpg,nature,"[3, 3, 3, 3, 4]",2
7333,7333,5930263390.jpg,people,"[3, 4, 3, 3, 4]",2
592,592,2316281972.jpg,urban,"[3, 3, 4, 4, 3]",2
2444,2444,6840730893.jpg,urban,"[3, 3, 2, 3, 2]",2
6958,6958,4376167684.jpg,nature,"[3, 3, 3, 4, 3]",2
13414,13414,6570869045.jpg,urban,"[3, 3, 2, 3, 2, 2]",1
1368,1368,167800909.jpg,urban,"[1, 2, 2, 2, 2]",1
10305,10305,36821593.jpg,animals,"[4, 5, 4, 4, 3]",3
8187,8187,5047144731.jpg,urban,"[4, 4, 5, 4, 4]",3
3898,3898,3331066023.jpg,nature,"[2, 3, 3, 3, 2]",2
8550,8550,455904471.jpg,urban,"[3, 3, 3, 3, 3]",2
2913,2913,3711552866.jpg,animals,"[4, 4, 4, 3, 5, 3, 4, 4, 3, 4, 4]",3
11422,11422,3794613926.jpg,nature,"[3, 4, 4, 2, 4]",2
8142,8142,39726004.jpg,people,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1
385,385,4248006213.jpg,animals,"[2, 2, 2, 3, 2, 2, 4, 3, 3, 3]",2
5042,5042,1058239503.jpg,nature,"[3, 3, 5, 4, 2]",2
10937,10937,2827345214.jpg,people,"[2, 3, 2, 2, 2, 3, 3, 2, 2, 3]",1
13016,13016,1665156947.jpg,nature,"[4, 4, 3, 3, 5]",3
12791,12791,4068347964.jpg,animals,"[4, 4, 5, 5, 4]",3
12190,12190,8367571247.jpg,animals,"[3, 3, 3, 3, 3, 3, 3]",2
749,749,3790176029.jpg,urban,"[3, 3, 2, 4, 3, 3]",2
1213,1213,5879572026.jpg,animals,"[4, 3, 3, 4, 4]",3
6849,6849,8050074307.jpg,nature,"[3, 4, 4, 4, 4, 3, 4, 4, 3, 3]",3
1482,1482,4471121455.jpg,animals,"[3, 3, 3, 3, 3]",2
1562,1562,5568885502.jpg,people,"[4, 3, 4, 3, 4]",3
6211,6211,4659422431.jpg,people,"[4, 3, 2, 3, 3, 3, 2, 4, 3, 3]",2
2405,2405,3493099856.jpg,nature,"[3, 3, 3, 4, 3]",2
12019,12019,1004202802.jpg,urban,"[3, 3, 3, 3, 4]",2
5090,5090,4517878540.jpg,urban,"[4, 3, 3, 3, 3]",2
7113,7113,3888829197.jpg,people,"[4, 3, 4, 3, 3]",2
12499,12499,8302758240.jpg,urban,"[4, 4, 4, 3, 3]",3
3372,3372,5551572171.jpg,nature,"[3, 4, 3, 3, 5]",3
2471,2471,503541249.jpg,urban,"[3, 4, 3, 3, 3]",2
6131,6131,3599430836.jpg,people,"[5, 4, 5, 3, 5]",3
7018,7018,8411147651.jpg,urban,"[3, 4, 3, 3, 3]",2
7203,7203,7307320712.jpg,urban,"[4, 3, 4, 4, 4, 4]",3
11907,11907,3027135942.jpg,people,"[2, 3, 3, 3, 3]",2
455,455,6810054865.jpg,urban,"[3, 3, 4, 5, 3]",3
2701,2701,352747231.jpg,animals,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 4]",2
360,360,2707475985.jpg,nature,"[3, 3, 3, 3, 3]",2
3656,3656,5345385059.jpg,people,"[2, 3, 3, 3, 2]",2
12534,12534,6102016223.jpg,animals,"[3, 4, 3, 3, 4]",2
11781,11781,3445323411.jpg,nature,"[4, 3, 3, 4, 4]",3
12274,12274,8513528961.jpg,animals,"[4, 3, 3, 4, 3]",2
450,450,2458372027.jpg,nature,"[3, 3, 4, 3, 4]",2
7915,7915,8275499240.jpg,animals,"[3, 3, 4, 5, 3]",3
177,177,7563129630.jpg,people,"[4, 4, 4, 3, 4]",3
4193,4193,6480692899.jpg,nature,"[2, 3, 3, 4, 3, 3]",2
4447,4447,5799842203.jpg,nature,"[3, 3, 4, 4, 3]",2
7465,7465,5799844011.jpg,nature,"[4, 4, 3, 4, 3]",3
8134,8134,548510282.jpg,nature,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2
7100,7100,7958433542.jpg,people,"[4, 4, 3, 4, 3]",3
1650,1650,5242859788.jpg,people,"[2, 2, 2, 3, 3]",1
4010,4010,7914098320.jpg,nature,"[3, 3, 3, 3, 3]",2
2109,2109,4845249194.jpg,people,"[3, 3, 3, 3, 3, 3, 3, 3, 2, 4, 3]",2
5665,5665,5328695831.jpg,people,"[4, 3, 3, 4, 3]",2
63,63,693830215.jpg,people,"[5, 4, 5, 4, 4]",3
3755,3755,377105395.jpg,urban,"[3, 3, 3, 3, 3, 4]",2
5098,5098,820183666.jpg,urban,"[4, 3, 3, 3, 4]",2
2899,2899,4819470817.jpg,nature,"[4, 3, 3, 3, 3]",2
8045,8045,7932893814.jpg,nature,"[3, 3, 1, 3, 4]",2
4089,4089,448630626.jpg,urban,"[4, 3, 4, 4, 4]",3
1791,1791,55109059.jpg,animals,"[3, 4, 4, 4, 4, 4, 4, 3, 4, 4]",3
2848,2848,4901841109.jpg,animals,"[4, 4, 4, 4, 5]",3
4191,4191,6214281456.jpg,nature,"[3, 4, 3, 3, 2]",2
12212,12212,6126240344.jpg,people,"[4, 4, 4, 4, 4]",3
12945,12945,6252557507.jpg,urban,"[4, 3, 2, 3, 4, 4]",2
8621,8621,2324821988.jpg,people,"[5, 4, 4, 4, 4]",3
4708,4708,3716333908.jpg,animals,"[3, 3, 2, 4, 3]",2
5359,5359,236793839.jpg,animals,"[3, 3, 3, 3, 4]",2
9319,9319,4530849620.jpg,nature,"[3, 5, 4, 3, 5]",3
2554,2554,5666156351.jpg,nature,"[3, 3, 3, 4, 3]",2
1225,1225,280388676.jpg,nature,"[4, 4, 4, 4, 5]",3
7028,7028,6590408383.jpg,urban,"[3, 3, 3, 3, 4, 3]",2
5100,5100,13085302.jpg,animals,"[3, 3, 3, 3, 3]",2
169,169,6337663345.jpg,nature,"[3, 3, 3, 3, 3]",2
2876,2876,3586575834.jpg,nature,"[2, 2, 3, 3, 3, 3, 3, 2, 3, 2]",2
7453,7453,1351781785.jpg,nature,"[3, 3, 3, 3, 3]",2
5353,5353,2974694207.jpg,people,"[3, 3, 3, 3, 3]",2
3441,3441,4700834686.jpg,nature,"[4, 4, 4, 4, 3]",3
10190,10190,2702390464.jpg,animals,"[4, 4, 4, 4, 4]",3
2611,2611,5645983571.jpg,animals,"[4, 4, 4, 4, 4]",3
6203,6203,2176143065.jpg,animals,"[4, 5, 5, 4, 3, 3]",3
1453,1453,8256391457.jpg,nature,"[4, 3, 3, 3, 5]",3
6978,6978,6392954291.jpg,people,"[3, 3, 3, 3, 3]",2
9901,9901,8408274053.jpg,nature,"[2, 2, 3, 2, 4, 3, 3, 3, 3, 4]",2
12432,12432,4481656341.jpg,animals,"[4, 3, 3, 4, 4, 4, 4]",3
7441,7441,2543254700.jpg,nature,"[3, 3, 3, 3, 2, 3]",2
9862,9862,899427766.jpg,animals,"[4, 5, 4, 4, 4]",3
5163,5163,7816837530.jpg,nature,"[4, 3, 3, 3, 3]",2
6437,6437,5031071062.jpg,animals,"[3, 2, 4, 2, 4]",2
