,Unnamed: 0,img_name,category,beauty_scores,score,score_bag
0,"['12153', '5513', '9293', '12260']","['5104878144.jpg', '7172630049.jpg', '4108972654.jpg', '4930466075.jpg']","['people', 'urban', 'people', 'nature']","['[4, 5, 5, 5, 5]', '[5, 5, 5, 4, 4]', '[4, 4, 3, 4, 4, 4, 4, 4, 4, 5]', '[3, 4, 2, 3, 3, 3, 2, 3, 4, 3]']","['4', '4', '3', '2']","""4"""
1,"['1056', '4756', '6074', '1264']","['2619190911.jpg', '387913804.jpg', '6729178115.jpg', '2166743845.jpg']","['nature', 'nature', 'urban', 'people']","['[4, 3, 4, 4, 3]', '[3, 4, 4, 3, 4]', '[3, 4, 4, 3, 4]', '[3, 3, 3, 3, 3]']","['3', '3', '3', '2']","""3"""
2,"['6124', '13031', '2658', '1127']","['4276418063.jpg', '7260890732.jpg', '6178919022.jpg', '4759933299.jpg']","['nature', 'urban', 'nature', 'nature']","['[3, 3, 4, 3, 3]', '[4, 3, 3, 3, 3, 3]', '[3, 3, 3, 3, 4, 3, 4, 3, 4, 4]', '[3, 3, 3, 3, 3, 3, 4, 4, 3, 4]']","['2', '2', '2', '2']","""2"""
3,"['13056', '7286', '5850', '3221']","['4314013100.jpg', '250898146.jpg', '94849814.jpg', '4818947103.jpg']","['urban', 'animals', 'people', 'animals']","['[2, 2, 2, 2, 3]', '[2, 2, 2, 2, 1]', '[2, 3, 3, 2, 2]', '[2, 2, 2, 2, 2]']","['1', '1', '1', '1']","""1"""
4,"['6415', '5861', '11480', '3070']","['2894380782.jpg', '6084968425.jpg', '3158363876.jpg', '6990135829.jpg']","['people', 'people', 'animals', 'people']","['[1, 2, 2, 1, 1]', '[1, 1, 1, 1, 1]', '[1, 2, 2, 1, 1]', '[1, 1, 1, 1, 1]']","['0', '0', '0', '0']","""0"""
5,"['11642', '11374', '8402', '3156']","['5940131115.jpg', '8075655037.jpg', '8407817318.jpg', '130905995.jpg']","['people', 'animals', 'nature', 'urban']","['[5, 4, 5, 4, 5]', '[5, 5, 5, 5, 5, 5, 4, 4, 4, 5]', '[3, 3, 4, 3, 4]', '[3, 3, 3, 3, 3]']","['4', '4', '2', '2']","""4"""
6,"['5532', '8495', '664', '8430']","['8368488772.jpg', '5827988343.jpg', '6273892390.jpg', '2197877232.jpg']","['animals', 'animals', 'people', 'people']","['[5, 3, 4, 3, 3, 4, 4, 3, 4, 3, 3, 4]', '[4, 4, 3, 4, 3]', '[3, 2, 3, 3, 3]', '[2, 4, 3, 3, 2]']","['3', '3', '2', '2']","""3"""
7,"['11886', '8891', '5045', '5340']","['5206352987.jpg', '4372435069.jpg', '3971470578.jpg', '5616201715.jpg']","['people', 'people', 'nature', 'nature']","['[4, 3, 4, 3, 3]', '[3, 3, 4, 3, 3]', '[3, 3, 3, 3, 3]', '[3, 3, 3, 3, 3]']","['2', '2', '2', '2']","""2"""
8,"['3010', '8960', '10599', '6706']","['4657541160.jpg', '4163270596.jpg', '2993554040.jpg', '4307440321.jpg']","['nature', 'urban', 'animals', 'urban']","['[1, 2, 2, 2, 2]', '[3, 3, 2, 2, 2]', '[3, 2, 2, 3, 2, 3, 3, 2, 2, 3]', '[2, 2, 2, 3, 3]']","['1', '1', '1', '1']","""1"""
9,"['1475', '5035', '1719', '9625']","['4059345792.jpg', '5836879431.jpg', '2698240918.jpg', '2237820353.jpg']","['people', 'people', 'people', 'nature']","['[1, 1, 1, 1, 1]', '[1, 1, 1, 2, 1]', '[2, 1, 1, 1, 1]', '[2, 1, 1, 1, 1]']","['0', '0', '0', '0']","""0"""
