,file,path,age,gender,age_bag
2190,"['153727-0.jpg', '26968-0.jpg', '220200-0.jpg', '248928-0.jpg']","['24/111/153727-0.jpg', '24/111/26968-0.jpg', '21/111/220200-0.jpg', '22/112/248928-0.jpg']","['24', '24', '21', '22']","['male', 'male', 'male', 'female']","""24"""
14042,"['209809-0.jpg', '226643-0.jpg', '99952-0.jpg', '247733-0.jpg']","['19/111/209809-0.jpg', '19/112/226643-0.jpg', '19/112/99952-0.jpg', '19/112/247733-0.jpg']","['19', '19', '19', '19']","['male', 'female', 'female', 'female']","""19"""
17621,"['8332-0.jpg', '146031-0.jpg', '230630-1.jpg', '14365-0.jpg']","['28/111/8332-0.jpg', '28/112/146031-0.jpg', '21/111/230630-1.jpg', '25/111/14365-0.jpg']","['28', '28', '21', '25']","['male', 'female', 'male', 'male']","""28"""
5473,"['149974-0.jpg', '441546-1.jpg', '209182-0.jpg', '196861-0.jpg']","['30/112/149974-0.jpg', '30/111/441546-1.jpg', '20/111/209182-0.jpg', '26/111/196861-0.jpg']","['30', '30', '20', '26']","['female', 'male', 'male', 'male']","""30"""
12962,"['230725-0.jpg', '243331-0.jpg', '224554-0.jpg', '54474-0.jpg']","['19/111/230725-0.jpg', '19/111/243331-0.jpg', '19/111/224554-0.jpg', '19/111/54474-0.jpg']","['19', '19', '19', '19']","['male', 'male', 'male', 'male']","""19"""
20180,"['10217-0.jpg', '70448-0.jpg', '33441-0.jpg', '12839-0.jpg']","['28/111/10217-0.jpg', '28/112/70448-0.jpg', '23/111/33441-0.jpg', '26/112/12839-0.jpg']","['28', '28', '23', '26']","['male', 'female', 'male', 'female']","""28"""
18537,"['102811-0.jpg', '253328-0.jpg', '212456-0.jpg', '29660-0.jpg']","['21/112/102811-0.jpg', '21/112/253328-0.jpg', '21/111/212456-0.jpg', '21/112/29660-0.jpg']","['21', '21', '21', '21']","['female', 'female', 'male', 'female']","""21"""
8425,"['315899-2.jpg', '443052-0.jpg', '208437-0.jpg', '189468-0.jpg']","['29/112/315899-2.jpg', '29/111/443052-0.jpg', '23/111/208437-0.jpg', '23/112/189468-0.jpg']","['29', '29', '23', '23']","['female', 'male', 'male', 'female']","""29"""
3741,"['37018-1.jpg', '114775-0.jpg', '284640-0.jpg', '61799-0.jpg']","['20/112/37018-1.jpg', '20/112/114775-0.jpg', '18/111/284640-0.jpg', '18/112/61799-0.jpg']","['20', '20', '18', '18']","['female', 'female', 'male', 'female']","""20"""
6410,"['303613-0.jpg', '80945-0.jpg', '191835-0.jpg', '28951-1.jpg']","['29/111/303613-0.jpg', '29/111/80945-0.jpg', '26/111/191835-0.jpg', '23/111/28951-1.jpg']","['29', '29', '26', '23']","['male', 'male', 'male', 'male']","""29"""
10958,"['283327-0.jpg', '261116-0.jpg', '271703-0.jpg', '96726-0.jpg']","['19/112/283327-0.jpg', '19/111/261116-0.jpg', '19/112/271703-0.jpg', '19/111/96726-0.jpg']","['19', '19', '19', '19']","['female', 'male', 'female', 'male']","""19"""
10009,"['289107-0.jpg', '246842-0.jpg', '282591-0.jpg', '286124-0.jpg']","['18/111/289107-0.jpg', '18/111/246842-0.jpg', '18/111/282591-0.jpg', '18/112/286124-0.jpg']","['18', '18', '18', '18']","['male', 'male', 'male', 'female']","""18"""
19254,"['444388-1.jpg', '446601-1.jpg', '11427-0.jpg', '16187-0.jpg']","['30/111/444388-1.jpg', '30/111/446601-1.jpg', '24/111/11427-0.jpg', '28/112/16187-0.jpg']","['30', '30', '24', '28']","['male', 'male', 'male', 'female']","""30"""
22033,"['106668-1.jpg', '187540-0.jpg', '192216-3.jpg', '103912-0.jpg']","['22/111/106668-1.jpg', '22/111/187540-0.jpg', '22/112/192216-3.jpg', '21/112/103912-0.jpg']","['22', '22', '22', '21']","['male', 'male', 'female', 'female']","""22"""
9189,"['243278-0.jpg', '44744-5.jpg', '231296-0.jpg', '224946-0.jpg']","['19/112/243278-0.jpg', '19/112/44744-5.jpg', '19/111/231296-0.jpg', '19/111/224946-0.jpg']","['19', '19', '19', '19']","['female', 'female', 'male', 'male']","""19"""
4071,"['11982-0.jpg', '133845-0.jpg', '217801-0.jpg', '78349-0.jpg']","['28/111/11982-0.jpg', '28/111/133845-0.jpg', '21/112/217801-0.jpg', '24/111/78349-0.jpg']","['28', '28', '21', '24']","['male', 'male', 'female', 'male']","""28"""
2719,"['311706-0.jpg', '153031-0.jpg', '24563-0.jpg', '228647-2.jpg']","['28/111/311706-0.jpg', '28/112/153031-0.jpg', '22/111/24563-0.jpg', '19/112/228647-2.jpg']","['28', '28', '22', '19']","['male', 'female', 'male', 'female']","""28"""
8190,"['439392-2.jpg', '445250-0.jpg', '148129-0.jpg', '33703-1.jpg']","['30/112/439392-2.jpg', '30/112/445250-0.jpg', '26/111/148129-0.jpg', '29/112/33703-1.jpg']","['30', '30', '26', '29']","['female', 'female', 'male', 'female']","""30"""
12508,"['153113-0.jpg', '7515-0.jpg', '160285-1.jpg', '213768-0.jpg']","['29/111/153113-0.jpg', '29/112/7515-0.jpg', '27/111/160285-1.jpg', '20/112/213768-0.jpg']","['29', '29', '27', '20']","['male', 'female', 'male', 'female']","""29"""
6874,"['263343-0.jpg', '267259-0.jpg', '291068-0.jpg', '259263-0.jpg']","['20/112/263343-0.jpg', '20/111/267259-0.jpg', '18/111/291068-0.jpg', '20/111/259263-0.jpg']","['20', '20', '18', '20']","['female', 'male', 'male', 'male']","""20"""
24019,"['77259-0.jpg', '76254-0.jpg', '177323-0.jpg', '78003-0.jpg']","['25/111/77259-0.jpg', '25/111/76254-0.jpg', '25/111/177323-0.jpg', '25/112/78003-0.jpg']","['25', '25', '25', '25']","['male', 'male', 'male', 'female']","""25"""
