,img_name,subject,age,age_group,age_group_bag
0,"['020A08.JPG', '048A17.JPG', '076A09.JPG']","['020', '048', '076']","['8', '17', '9']","['04-11', '17-24', '04-11']","""17-24"""
1,"['066A09.JPG', '056A15.JPG', '082A23.JPG']","['066', '056', '082']","['9', '15', '23']","['04-11', '12-16', '17-24']","""17-24"""
2,"['076A04.JPG', '054A06.JPG', '069A09.JPG']","['076', '054', '069']","['4', '6', '9']","['04-11', '04-11', '04-11']","""04-11"""
3,"['019A15.JPG', '022A16.JPG', '078A04.JPG']","['019', '022', '078']","['15', '16', '4']","['12-16', '12-16', '04-11']","""12-16"""
4,"['082A25.JPG', '058A10.JPG', '059A02a.JPG']","['082', '058', '059']","['25', '10', '2']","['25-40', '04-11', '00-03']","""25-40"""
5,"['010A05.JPG', '020A24.JPG', '025A39.JPG']","['010', '020', '025']","['5', '24', '39']","['04-11', '17-24', '25-40']","""25-40"""
6,"['072A19.JPG', '052A02.JPG', '053A08.JPG']","['072', '052', '053']","['19', '2', '8']","['17-24', '00-03', '04-11']","""17-24"""
7,"['018A34.JPG', '033A18.JPG', '064A04.JPG']","['018', '033', '064']","['34', '18', '4']","['25-40', '17-24', '04-11']","""25-40"""
8,"['032A33.JPG', '033A39.JPG', '042A20.JPG']","['032', '033', '042']","['33', '39', '20']","['25-40', '25-40', '17-24']","""25-40"""
9,"['046A17.JPG', '080A04.JPG', '006A31.JPG']","['046', '080', '006']","['17', '4', '31']","['17-24', '04-11', '25-40']","""25-40"""
10,"['019A05.JPG', '077A11.JPG', '074A15.JPG']","['019', '077', '074']","['5', '11', '15']","['04-11', '04-11', '12-16']","""12-16"""
11,"['006A28.JPG', '081A08.JPG', '048A18.JPG']","['006', '081', '048']","['28', '8', '18']","['25-40', '04-11', '17-24']","""25-40"""
12,"['048A09.JPG', '042A28.JPG', '036A20.JPG']","['048', '042', '036']","['9', '28', '20']","['04-11', '25-40', '17-24']","""25-40"""
13,"['019A00.JPG', '031A03.JPG', '053A03.JPG']","['019', '031', '053']","['0', '3', '3']","['00-03', '00-03', '00-03']","""00-03"""
14,"['001A22.JPG', '037A06.JPG', '004A40.JPG']","['001', '037', '004']","['22', '6', '40']","['17-24', '04-11', '25-40']","""25-40"""
15,"['076A07.JPG', '076A05.JPG', '055A06.JPG']","['076', '076', '055']","['7', '5', '6']","['04-11', '04-11', '04-11']","""04-11"""
16,"['054A18.JPG', '008A16.JPG', '076A17.JPG']","['054', '008', '076']","['18', '16', '17']","['17-24', '12-16', '17-24']","""17-24"""
