,img_name,subject,age,age_group,age_group_bag
17,"['082A00.JPG', '053A02.JPG', '066A02a.JPG', '043A03.JPG']","['082', '053', '066', '043']","['0', '2', '2', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
16,"['075A07.JPG', '066A07.JPG', '076A03.JPG', '058A01.JPG']","['075', '066', '076', '058']","['7', '7', '3', '1']","['04-11', '04-11', '00-03', '00-03']","""04-11"""
97,"['067A28.JPG', '063A33.JPG', '076A13.JPG', '033A39.JPG']","['067', '063', '076', '033']","['28', '33', '13', '39']","['25-40', '25-40', '12-16', '25-40']","""25-40"""
53,"['077A01.JPG', '069A03.JPG', '041A00.JPG', '069A00.JPG']","['077', '069', '041', '069']","['1', '3', '0', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
172,"['038A14.JPG', '074A15.JPG', '010A15.JPG', '078A04.JPG']","['038', '074', '010', '078']","['14', '15', '15', '4']","['12-16', '12-16', '12-16', '04-11']","""12-16"""
27,"['042A12.JPG', '045A12.JPG', '070A02.JPG', '036A00.JPG']","['042', '045', '070', '036']","['12', '12', '2', '0']","['12-16', '12-16', '00-03', '00-03']","""12-16"""
3,"['051A16.JPG', '077A12.JPG', '023A07.JPG', '029A10.JPG']","['051', '077', '023', '029']","['16', '12', '7', '10']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
135,"['043A17.JPG', '012A24.JPG', '065A08.JPG', '035A23b.JPG']","['043', '012', '065', '035']","['17', '24', '8', '23']","['17-24', '17-24', '04-11', '17-24']","""17-24"""
96,"['033A44.JPG', '006A69.JPG', '039A05.JPG', '046A06.JPG']","['033', '006', '039', '046']","['44', '69', '5', '6']","['41+', '41+', '04-11', '04-11']","""41+"""
69,"['010A12.JPG', '044A13.JPG', '031A04.JPG', '049A06.JPG']","['010', '044', '031', '049']","['12', '13', '4', '6']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
124,"['081A06.JPG', '026A04.JPG', '001A08.JPG', '066A02b.JPG']","['081', '026', '001', '066']","['6', '4', '8', '2']","['04-11', '04-11', '04-11', '00-03']","""04-11"""
