,img_name,subject,age,age_group,age_group_bag
0,"['034A44.JPG', '045A48.JPG', '017A22.JPG', '044A18.JPG']","['034', '045', '017', '044']","['44', '48', '22', '18']","['41+', '41+', '17-24', '17-24']","""41+"""
1,"['005A40.JPG', '014A30.JPG', '025A00.JPG', '036A17.JPG']","['005', '014', '025', '036']","['40', '30', '0', '17']","['25-40', '25-40', '00-03', '17-24']","""25-40"""
2,"['016A17.JPG', '063A22.JPG', '054A18.JPG', '008A12.JPG']","['016', '063', '054', '008']","['17', '22', '18', '12']","['17-24', '17-24', '17-24', '12-16']","""17-24"""
3,"['065A12.JPG', '033A14.JPG', '032A08.JPG', '077A07.JPG']","['065', '033', '032', '077']","['12', '14', '8', '7']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
4,"['023A07.JPG', '022A11.JPG', '030A07.JPG', '070A09.JPG']","['023', '022', '030', '070']","['7', '11', '7', '9']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
5,"['080A02.JPG', '048A00.JPG', '046A02.JPG', '073A01.JPG']","['080', '048', '046', '073']","['2', '0', '2', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
6,"['062A47.JPG', '003A60.JPG', '082A31.JPG', '063A04.JPG']","['062', '003', '082', '063']","['47', '60', '31', '4']","['41+', '41+', '25-40', '04-11']","""41+"""
7,"['002A29.JPG', '008A31.JPG', '054A04.JPG', '035A14.JPG']","['002', '008', '054', '035']","['29', '31', '4', '14']","['25-40', '25-40', '04-11', '12-16']","""25-40"""
8,"['072A21.JPG', '036A18.JPG', '002A23.JPG', '078A01.JPG']","['072', '036', '002', '078']","['21', '18', '23', '1']","['17-24', '17-24', '17-24', '00-03']","""17-24"""
9,"['010A15.JPG', '074A13.JPG', '039A10.JPG', '027A13.JPG']","['010', '074', '039', '027']","['15', '13', '10', '13']","['12-16', '12-16', '04-11', '12-16']","""12-16"""
10,"['079A11.JPG', '026A07.JPG', '029A01.JPG', '079A09.JPG']","['079', '026', '029', '079']","['11', '7', '1', '9']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
11,"['079A03.JPG', '056A03.JPG', '078A02.JPG', '027A02.JPG']","['079', '056', '078', '027']","['3', '3', '2', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
12,"['045A43.JPG', '003A49.JPG', '027A16.JPG', '032A06.JPG']","['045', '003', '027', '032']","['43', '49', '16', '6']","['41+', '41+', '12-16', '04-11']","""41+"""
13,"['007A38.JPG', '019A27.JPG', '069A09.JPG', '058A01.JPG']","['007', '019', '069', '058']","['38', '27', '9', '1']","['25-40', '25-40', '04-11', '00-03']","""25-40"""
14,"['037A18.JPG', '052A20.JPG', '072A19.JPG', '034A16.JPG']","['037', '052', '072', '034']","['18', '20', '19', '16']","['17-24', '17-24', '17-24', '12-16']","""17-24"""
15,"['025A12.JPG', '061A15.JPG', '078A09.JPG', '037A11.JPG']","['025', '061', '078', '037']","['12', '15', '9', '11']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
16,"['047A09.JPG', '076A11.JPG', '064A04.JPG', '074A01.JPG']","['047', '076', '064', '074']","['9', '11', '4', '1']","['04-11', '04-11', '04-11', '00-03']","""04-11"""
17,"['042A00.JPG', '046A00.JPG', '066A03.JPG', '053A00.JPG']","['042', '046', '066', '053']","['0', '0', '3', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
18,"['028A41.JPG', '003A58.JPG', '080A13.JPG', '074A11.JPG']","['028', '003', '080', '074']","['41', '58', '13', '11']","['41+', '41+', '12-16', '04-11']","""41+"""
19,"['005A30.JPG', '020A26.JPG', '035A00.JPG', '060A04.JPG']","['005', '020', '035', '060']","['30', '26', '0', '4']","['25-40', '25-40', '00-03', '04-11']","""25-40"""
20,"['018A18.JPG', '053A18.JPG', '007A23.JPG', '058A03.JPG']","['018', '053', '007', '058']","['18', '18', '23', '3']","['17-24', '17-24', '17-24', '00-03']","""17-24"""
21,"['008A16.JPG', '031A14.JPG', '074A14.JPG', '072A14.JPG']","['008', '031', '074', '072']","['16', '14', '14', '14']","['12-16', '12-16', '12-16', '12-16']","""12-16"""
22,"['049A05.JPG', '039A05.JPG', '070A07.JPG', '066A08.JPG']","['049', '039', '070', '066']","['5', '5', '7', '8']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
23,"['070A01.JPG', '030A00.JPG', '011A02.JPG', '078A00.JPG']","['070', '030', '011', '078']","['1', '0', '2', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
24,"['006A42.JPG', '048A50.JPG', '055A14.JPG', '068A14.JPG']","['006', '048', '055', '068']","['42', '50', '14', '14']","['41+', '41+', '12-16', '12-16']","""41+"""
25,"['003A25.JPG', '028A37.JPG', '030A23.JPG', '043A10.JPG']","['003', '028', '030', '043']","['25', '37', '23', '10']","['25-40', '25-40', '17-24', '04-11']","""25-40"""
26,"['052A19.JPG', '024A19.JPG', '041A00.JPG', '038A21.JPG']","['052', '024', '041', '038']","['19', '19', '0', '21']","['17-24', '17-24', '00-03', '17-24']","""17-24"""
27,"['077A14.JPG', '002A12.JPG', '075A01.JPG', '080A03.JPG']","['077', '002', '075', '080']","['14', '12', '1', '3']","['12-16', '12-16', '00-03', '00-03']","""12-16"""
28,"['012A07.JPG', '071A10.JPG', '068A10a.JPG', '056A01.JPG']","['012', '071', '068', '056']","['7', '10', '10', '1']","['04-11', '04-11', '04-11', '00-03']","""04-11"""
29,"['040A00.JPG', '079A01.JPG', '068A00.JPG', '033A02.JPG']","['040', '079', '068', '033']","['0', '1', '0', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
30,"['048A49.JPG', '006A61.JPG', '029A10.JPG', '060A20.JPG']","['048', '006', '029', '060']","['49', '61', '10', '20']","['41+', '41+', '04-11', '17-24']","""41+"""
31,"['038A34.JPG', '004A40.JPG', '018A29.JPG', '033A10.JPG']","['038', '004', '018', '033']","['34', '40', '29', '10']","['25-40', '25-40', '25-40', '04-11']","""25-40"""
32,"['020A24.JPG', '076A17.JPG', '041A19.JPG', '036A13.JPG']","['020', '076', '041', '036']","['24', '17', '19', '13']","['17-24', '17-24', '17-24', '12-16']","""17-24"""
33,"['052A13.JPG', '052A14.JPG', '040A09.JPG', '065A04.JPG']","['052', '052', '040', '065']","['13', '14', '9', '4']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
34,"['050A10.JPG', '074A08.JPG', '002A03.JPG', '073A05.JPG']","['050', '074', '002', '073']","['10', '8', '3', '5']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
35,"['019A03.JPG', '068A03.JPG', '066A00.JPG', '019A00.JPG']","['019', '068', '066', '019']","['3', '3', '0', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
36,"['011A42.JPG', '071A44.JPG', '018A28.JPG', '014A18.JPG']","['011', '071', '018', '014']","['42', '44', '28', '18']","['41+', '41+', '25-40', '17-24']","""41+"""
37,"['020A30.JPG', '030A26.JPG', '016A01.JPG', '004A26.JPG']","['020', '030', '016', '004']","['30', '26', '1', '26']","['25-40', '25-40', '00-03', '25-40']","""25-40"""
38,"['054A19.JPG', '037A19.JPG', '058A02.JPG', '077A02.JPG']","['054', '037', '058', '077']","['19', '19', '2', '2']","['17-24', '17-24', '00-03', '00-03']","""17-24"""
39,"['023A14.JPG', '030A16.JPG', '069A03.JPG', '069A02.JPG']","['023', '030', '069', '069']","['14', '16', '3', '2']","['12-16', '12-16', '00-03', '00-03']","""12-16"""
40,"['079A05.JPG', '069A10.JPG', '075A05.JPG', '054A00.JPG']","['079', '069', '075', '054']","['5', '10', '5', '0']","['04-11', '04-11', '04-11', '00-03']","""04-11"""
41,"['070A00.JPG', '024A00.JPG', '073A02.JPG', '064A01.JPG']","['070', '024', '073', '064']","['0', '0', '2', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
42,"['072A41.JPG', '071A43.JPG', '021A30.JPG', '052A16.JPG']","['072', '071', '021', '052']","['41', '43', '30', '16']","['41+', '41+', '25-40', '12-16']","""41+"""
43,"['019A30.JPG', '071A35.JPG', '023A25.JPG', '024A18.JPG']","['019', '071', '023', '024']","['30', '35', '25', '18']","['25-40', '25-40', '25-40', '17-24']","""25-40"""
44,"['048A18.JPG', '012A23.JPG', '047A12.JPG', '017A15.JPG']","['048', '012', '047', '017']","['18', '23', '12', '15']","['17-24', '17-24', '12-16', '12-16']","""17-24"""
45,"['021A16.JPG', '042A14.JPG', '023A05.JPG', '038A00.JPG']","['021', '042', '023', '038']","['16', '14', '5', '0']","['12-16', '12-16', '04-11', '00-03']","""12-16"""
46,"['030A04.JPG', '072A11.JPG', '032A10.JPG', '023A09.JPG']","['030', '072', '032', '023']","['4', '11', '10', '9']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
47,"['060A02.JPG', '046A01.JPG', '054A02.JPG', '050A00.JPG']","['060', '046', '054', '050']","['2', '1', '2', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
48,"['006A55.JPG', '072A45.JPG', '071A00.JPG', '013A16.JPG']","['006', '072', '071', '013']","['55', '45', '0', '16']","['41+', '41+', '00-03', '12-16']","""41+"""
49,"['063A25.JPG', '006A31.JPG', '081A02.JPG', '082A23.JPG']","['063', '006', '081', '082']","['25', '31', '2', '23']","['25-40', '25-40', '00-03', '17-24']","""25-40"""
50,"['002A21.JPG', '054A17.JPG', '025A19.JPG', '043A17.JPG']","['002', '054', '025', '043']","['21', '17', '19', '17']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
51,"['049A15.JPG', '054A12.JPG', '061A04.JPG', '066A02a.JPG']","['049', '054', '061', '066']","['15', '12', '4', '2']","['12-16', '12-16', '04-11', '00-03']","""12-16"""
52,"['035A05.JPG', '081A05.JPG', '069A06.JPG', '046A06.JPG']","['035', '081', '069', '046']","['5', '5', '6', '6']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
53,"['076A01.JPG', '073A03.JPG', '066A02b.JPG', '035A01.JPG']","['076', '073', '066', '035']","['1', '3', '2', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
54,"['039A45.JPG', '071A42.JPG', '013A41.JPG', '018A16.JPG']","['039', '071', '013', '018']","['45', '42', '41', '16']","['41+', '41+', '41+', '12-16']","""41+"""
55,"['062A35.JPG', '032A40.JPG', '076A06.JPG', '006A40.JPG']","['062', '032', '076', '006']","['35', '40', '6', '40']","['25-40', '25-40', '04-11', '25-40']","""25-40"""
56,"['036A19.JPG', '032A24.JPG', '025A22.JPG', '069A05.JPG']","['036', '032', '025', '069']","['19', '24', '22', '5']","['17-24', '17-24', '17-24', '04-11']","""17-24"""
57,"['072A13.JPG', '079A12.JPG', '058A00.JPG', '062A16.JPG']","['072', '079', '058', '062']","['13', '12', '0', '16']","['12-16', '12-16', '00-03', '12-16']","""12-16"""
58,"['079A06.JPG', '081A08.JPG', '021A03.JPG', '078A04.JPG']","['079', '081', '021', '078']","['6', '8', '3', '4']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
59,"['059A02b.JPG', '013A00.JPG', '076A03.JPG', '075A00.JPG']","['059', '013', '076', '075']","['2', '0', '3', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
60,"['071A45.JPG', '005A52.JPG', '072A17.JPG', '047A55.JPG']","['071', '005', '072', '047']","['45', '52', '17', '55']","['41+', '41+', '17-24', '41+']","""41+"""
61,"['061A30.JPG', '006A28.JPG', '044A13.JPG', '010A05.JPG']","['061', '006', '044', '010']","['30', '28', '13', '5']","['25-40', '25-40', '12-16', '04-11']","""25-40"""
62,"['027A18.JPG', '004A19.JPG', '034A15.JPG', '017A19.JPG']","['027', '004', '034', '017']","['18', '19', '15', '19']","['17-24', '17-24', '12-16', '17-24']","""17-24"""
63,"['035A16.JPG', '045A12.JPG', '053A04.JPG', '047A15.JPG']","['035', '045', '053', '047']","['16', '12', '4', '15']","['12-16', '12-16', '04-11', '12-16']","""12-16"""
64,"['010A09.JPG', '055A04.JPG', '079A00.JPG', '069A11.JPG']","['010', '055', '079', '069']","['9', '4', '0', '11']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
65,"['073A00.JPG', '072A02.JPG', '026A00.JPG', '081A01.JPG']","['073', '072', '026', '081']","['0', '2', '0', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
66,"['001A43b.JPG', '048A46.JPG', '060A17.JPG', '038A23.JPG']","['001', '048', '060', '038']","['43', '46', '17', '23']","['41+', '41+', '17-24', '17-24']","""41+"""
67,"['028A26.JPG', '033A25.JPG', '028A16.JPG', '040A16.JPG']","['028', '033', '028', '040']","['26', '25', '16', '16']","['25-40', '25-40', '12-16', '12-16']","""25-40"""
68,"['055A22.JPG', '035A21.JPG', '060A12.JPG', '002A04.JPG']","['055', '035', '060', '002']","['22', '21', '12', '4']","['17-24', '17-24', '12-16', '04-11']","""17-24"""
69,"['073A15.JPG', '073A16.JPG', '056A02.JPG', '051A14.JPG']","['073', '073', '056', '051']","['15', '16', '2', '14']","['12-16', '12-16', '00-03', '12-16']","""12-16"""
70,"['038A04.JPG', '060A07.JPG', '043A04.JPG', '016A10.JPG']","['038', '060', '043', '016']","['4', '7', '4', '10']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
71,"['038A01.JPG', '016A03.JPG', '057A00.JPG', '082A00.JPG']","['038', '016', '057', '082']","['1', '3', '0', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
72,"['027A41.JPG', '004A51.JPG', '060A06.JPG', '048A33.JPG']","['027', '004', '060', '048']","['41', '51', '6', '33']","['41+', '41+', '04-11', '25-40']","""41+"""
73,"['018A25.JPG', '029A29.JPG', '081A07.JPG', '034A39.JPG']","['018', '029', '081', '034']","['25', '29', '7', '39']","['25-40', '25-40', '04-11', '25-40']","""25-40"""
74,"['071A22.JPG', '029A20.JPG', '039A02.JPG', '034A21.JPG']","['071', '029', '039', '034']","['22', '20', '2', '21']","['17-24', '17-24', '00-03', '17-24']","""17-24"""
75,"['039A15.JPG', '049A16.JPG', '065A06a.JPG', '082A16.JPG']","['039', '049', '065', '082']","['15', '16', '6', '16']","['12-16', '12-16', '04-11', '12-16']","""12-16"""
76,"['067A04.JPG', '075A11.JPG', '070A05.JPG', '045A03.JPG']","['067', '075', '070', '045']","['4', '11', '5', '3']","['04-11', '04-11', '04-11', '00-03']","""04-11"""
77,"['040A02.JPG', '053A01.JPG', '076A02.JPG', '074A00.JPG']","['040', '053', '076', '074']","['2', '1', '2', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
78,"['003A61.JPG', '006A46.JPG', '012A26.JPG', '052A10.JPG']","['003', '006', '012', '052']","['61', '46', '26', '10']","['41+', '41+', '25-40', '04-11']","""41+"""
79,"['020A36.JPG', '022A26.JPG', '038A05.JPG', '074A05.JPG']","['020', '022', '038', '074']","['36', '26', '5', '5']","['25-40', '25-40', '04-11', '04-11']","""25-40"""
80,"['029A22.JPG', '020A18.JPG', '079A04.JPG', '031A07.JPG']","['029', '020', '079', '031']","['22', '18', '4', '7']","['17-24', '17-24', '04-11', '04-11']","""17-24"""
81,"['078A13.JPG', '002A16.JPG', '029A05.JPG', '076A00.JPG']","['078', '002', '029', '076']","['13', '16', '5', '0']","['12-16', '12-16', '04-11', '00-03']","""12-16"""
82,"['077A11.JPG', '022A07.JPG', '037A09.JPG', '063A00.JPG']","['077', '022', '037', '063']","['11', '7', '9', '0']","['04-11', '04-11', '04-11', '00-03']","""04-11"""
83,"['080A01.JPG', '008A03.JPG', '034A02.JPG', '065A02b.JPG']","['080', '008', '034', '065']","['1', '3', '2', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
84,"['005A61.JPG', '006A69.JPG', '026A18.JPG', '040A21.JPG']","['005', '006', '026', '040']","['61', '69', '18', '21']","['41+', '41+', '17-24', '17-24']","""41+"""
85,"['045A40.JPG', '061A25.JPG', '031A03.JPG', '022A28.JPG']","['045', '061', '031', '022']","['40', '25', '3', '28']","['25-40', '25-40', '00-03', '25-40']","""25-40"""
86,"['055A23.JPG', '052A17.JPG', '053A02.JPG', '012A24.JPG']","['055', '052', '053', '012']","['23', '17', '2', '24']","['17-24', '17-24', '00-03', '17-24']","""17-24"""
87,"['080A12.JPG', '010A12.JPG', '053A10.JPG', '077A03.JPG']","['080', '010', '053', '077']","['12', '12', '10', '3']","['12-16', '12-16', '04-11', '00-03']","""12-16"""
88,"['027A11.JPG', '068A04.JPG', '048A09.JPG', '038A10.JPG']","['027', '068', '048', '038']","['11', '4', '9', '10']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
89,"['059A02a.JPG', '038A03.JPG', '053A03.JPG', '075A02.JPG']","['059', '038', '053', '075']","['2', '3', '3', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
90,"['013A44.JPG', '033A44.JPG', '051A05.JPG', '060A08.JPG']","['013', '033', '051', '060']","['44', '44', '5', '8']","['41+', '41+', '04-11', '04-11']","""41+"""
91,"['011A27.JPG', '072A25.JPG', '031A09.JPG', '066A11.JPG']","['011', '072', '031', '066']","['27', '25', '9', '11']","['25-40', '25-40', '04-11', '04-11']","""25-40"""
92,"['001A22.JPG', '021A20.JPG', '057A05.JPG', '063A20.JPG']","['001', '021', '057', '063']","['22', '20', '5', '20']","['17-24', '17-24', '04-11', '17-24']","""17-24"""
93,"['016A14.JPG', '016A12.JPG', '008A06.JPG', '009A03.JPG']","['016', '016', '008', '009']","['14', '12', '6', '3']","['12-16', '12-16', '04-11', '00-03']","""12-16"""
94,"['060A11.JPG', '039A07.JPG', '080A05.JPG', '009A01.JPG']","['060', '039', '080', '009']","['11', '7', '5', '1']","['04-11', '04-11', '04-11', '00-03']","""04-11"""
95,"['050A03.JPG', '022A00.JPG', '010A01.JPG', '070A02.JPG']","['050', '022', '010', '070']","['3', '0', '1', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
96,"['048A54.JPG', '039A50.JPG', '020A04.JPG', '026A04.JPG']","['048', '039', '020', '026']","['54', '50', '4', '4']","['41+', '41+', '04-11', '04-11']","""41+"""
97,"['067A39.JPG', '007A39.JPG', '064A19.JPG', '035A08.JPG']","['067', '007', '064', '035']","['39', '39', '19', '8']","['25-40', '25-40', '17-24', '04-11']","""25-40"""
98,"['030A18.JPG', '004A21.JPG', '045A19.JPG', '016A07.JPG']","['030', '004', '045', '016']","['18', '21', '19', '7']","['17-24', '17-24', '17-24', '04-11']","""17-24"""
99,"['026A15.JPG', '074A12.JPG', '031A15.JPG', '061A06.JPG']","['026', '074', '031', '061']","['15', '12', '15', '6']","['12-16', '12-16', '12-16', '04-11']","""12-16"""
100,"['031A04.JPG', '048A11.JPG', '080A09.JPG', '065A08.JPG']","['031', '048', '080', '065']","['4', '11', '9', '8']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
101,"['036A00.JPG', '063A02.JPG', '080A00.JPG', '065A03b.JPG']","['036', '063', '080', '065']","['0', '2', '0', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
102,"['007A45.JPG', '005A49.JPG', '018A06.JPG', '066A06a.JPG']","['007', '005', '018', '066']","['45', '49', '6', '6']","['41+', '41+', '04-11', '04-11']","""41+"""
103,"['025A28.JPG', '017A36.JPG', '010A16.JPG', '047A11.JPG']","['025', '017', '010', '047']","['28', '36', '16', '11']","['25-40', '25-40', '12-16', '04-11']","""25-40"""
104,"['046A17.JPG', '082A21.JPG', '059A16.JPG', '078A14.JPG']","['046', '082', '059', '078']","['17', '21', '16', '14']","['17-24', '17-24', '12-16', '12-16']","""17-24"""
105,"['037A13.JPG', '076A16.JPG', '051A08.JPG', '001A16.JPG']","['037', '076', '051', '001']","['13', '16', '8', '16']","['12-16', '12-16', '04-11', '12-16']","""12-16"""
106,"['073A04.JPG', '042A06.JPG', '037A02.JPG', '050A06.JPG']","['073', '042', '037', '050']","['4', '6', '2', '6']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
107,"['069A00.JPG', '051A00.JPG', '052A02.JPG', '065A02a.JPG']","['069', '051', '052', '065']","['0', '0', '2', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
108,"['005A48.JPG', '003A47.JPG', '029A33.JPG', '002A38.JPG']","['005', '003', '029', '002']","['48', '47', '33', '38']","['41+', '41+', '25-40', '25-40']","""41+"""
109,"['007A37.JPG', '067A30.JPG', '029A16.JPG', '034A11.JPG']","['007', '067', '029', '034']","['37', '30', '16', '11']","['25-40', '25-40', '12-16', '04-11']","""25-40"""
110,"['082A20.JPG', '022A18.JPG', '021A18.JPG', '022A16.JPG']","['082', '022', '021', '022']","['20', '18', '18', '16']","['17-24', '17-24', '17-24', '12-16']","""17-24"""
111,"['040A12.JPG', '078A12.JPG', '049A07.JPG', '041A06.JPG']","['040', '078', '049', '041']","['12', '12', '7', '6']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
112,"['065A11.JPG', '016A08.JPG', '076A08.JPG', '015A09.JPG']","['065', '016', '076', '015']","['11', '8', '8', '9']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
113,"['020A02.JPG', '036A01.JPG', '043A03.JPG', '074A03.JPG']","['020', '036', '043', '074']","['2', '1', '3', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
114,"['006A51.JPG', '062A53.JPG', '013A18.JPG', '073A14.JPG']","['006', '062', '013', '073']","['51', '53', '18', '14']","['41+', '41+', '17-24', '12-16']","""41+"""
