,img_name,subject,age,age_group,age_group_bag
170,"['016A08.JPG', '061A06.JPG', '079A08.JPG', '073A00.JPG']","['016', '061', '079', '073']","['8', '6', '8', '0']","['04-11', '04-11', '04-11', '00-03']","""04-11"""
59,"['053A02.JPG', '070A03.JPG', '019A03.JPG', '007A01.JPG']","['053', '070', '019', '007']","['2', '3', '3', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
119,"['040A03b.JPG', '052A02.JPG', '033A02.JPG', '080A03.JPG']","['040', '052', '033', '080']","['3', '2', '2', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
120,"['005A52.JPG', '047A55.JPG', '015A07.JPG', '025A22.JPG']","['005', '047', '015', '025']","['52', '55', '7', '22']","['41+', '41+', '04-11', '17-24']","""41+"""
164,"['015A19.JPG', '042A18.JPG', '033A05.JPG', '080A14.JPG']","['015', '042', '033', '080']","['19', '18', '5', '14']","['17-24', '17-24', '04-11', '12-16']","""17-24"""
194,"['038A17.JPG', '029A23.JPG', '046A12.JPG', '077A08.JPG']","['038', '029', '046', '077']","['17', '23', '12', '8']","['17-24', '17-24', '12-16', '04-11']","""17-24"""
119,"['040A03b.JPG', '052A02.JPG', '033A02.JPG', '080A03.JPG']","['040', '052', '033', '080']","['3', '2', '2', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
6,"['071A44.JPG', '006A69.JPG', '003A25.JPG', '074A06.JPG']","['071', '006', '003', '074']","['44', '69', '25', '6']","['41+', '41+', '25-40', '04-11']","""41+"""
83,"['035A00.JPG', '054A02.JPG', '076A00.JPG', '058A01.JPG']","['035', '054', '076', '058']","['0', '2', '0', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
130,"['048A46.JPG', '014A42.JPG', '072A34.JPG', '059A12.JPG']","['048', '014', '072', '059']","['46', '42', '34', '12']","['41+', '41+', '25-40', '12-16']","""41+"""
161,"['026A13.JPG', '041A13.JPG', '079A04.JPG', '016A16.JPG']","['026', '041', '079', '016']","['13', '13', '4', '16']","['12-16', '12-16', '04-11', '12-16']","""12-16"""
49,"['033A35.JPG', '005A30.JPG', '081A11.JPG', '054A17.JPG']","['033', '005', '081', '054']","['35', '30', '11', '17']","['25-40', '25-40', '04-11', '17-24']","""25-40"""
95,"['073A01.JPG', '037A02.JPG', '081A03.JPG', '041A00.JPG']","['073', '037', '081', '041']","['1', '2', '3', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
191,"['011A40.JPG', '048A27.JPG', '076A17.JPG', '067A39.JPG']","['011', '048', '076', '067']","['40', '27', '17', '39']","['25-40', '25-40', '17-24', '25-40']","""25-40"""
191,"['011A40.JPG', '048A27.JPG', '076A17.JPG', '067A39.JPG']","['011', '048', '076', '067']","['40', '27', '17', '39']","['25-40', '25-40', '17-24', '25-40']","""25-40"""
126,"['017A26.JPG', '002A29.JPG', '004A30.JPG', '076A16.JPG']","['017', '002', '004', '076']","['26', '29', '30', '16']","['25-40', '25-40', '25-40', '12-16']","""25-40"""
7,"['034A30.JPG', '067A30.JPG', '016A04.JPG', '052A10.JPG']","['034', '067', '016', '052']","['30', '30', '4', '10']","['25-40', '25-40', '04-11', '04-11']","""25-40"""
73,"['014A36.JPG', '017A36.JPG', '058A03.JPG', '029A11.JPG']","['014', '017', '058', '029']","['36', '36', '3', '11']","['25-40', '25-40', '00-03', '04-11']","""25-40"""
197,"['011A30.JPG', '029A33.JPG', '037A18.JPG', '022A23.JPG']","['011', '029', '037', '022']","['30', '33', '18', '23']","['25-40', '25-40', '17-24', '17-24']","""25-40"""
58,"['021A05.JPG', '067A04.JPG', '059A07.JPG', '038A10.JPG']","['021', '067', '059', '038']","['5', '4', '7', '10']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
112,"['012A07.JPG', '048A10.JPG', '059A03.JPG', '081A07.JPG']","['012', '048', '059', '081']","['7', '10', '3', '7']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
142,"['057A05.JPG', '019A07.JPG', '047A06.JPG', '078A10.JPG']","['057', '019', '047', '078']","['5', '7', '6', '10']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
102,"['004A53.JPG', '006A46.JPG', '028A18.JPG', '036A15.JPG']","['004', '006', '028', '036']","['53', '46', '18', '15']","['41+', '41+', '17-24', '12-16']","""41+"""
8,"['016A17.JPG', '042A24.JPG', '040A02.JPG', '029A20.JPG']","['016', '042', '040', '029']","['17', '24', '2', '20']","['17-24', '17-24', '00-03', '17-24']","""17-24"""
119,"['040A03b.JPG', '052A02.JPG', '033A02.JPG', '080A03.JPG']","['040', '052', '033', '080']","['3', '2', '2', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
19,"['005A40.JPG', '008A30.JPG', '029A01.JPG', '050A03.JPG']","['005', '008', '029', '050']","['40', '30', '1', '3']","['25-40', '25-40', '00-03', '00-03']","""25-40"""
142,"['057A05.JPG', '019A07.JPG', '047A06.JPG', '078A10.JPG']","['057', '019', '047', '078']","['5', '7', '6', '10']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
4,"['048A11.JPG', '041A04.JPG', '081A01.JPG', '060A11.JPG']","['048', '041', '081', '060']","['11', '4', '1', '11']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
103,"['007A26.JPG', '018A34.JPG', '029A13.JPG', '079A11.JPG']","['007', '018', '029', '079']","['26', '34', '13', '11']","['25-40', '25-40', '12-16', '04-11']","""25-40"""
70,"['080A05.JPG', '043A10.JPG', '010A07b.JPG', '059A02b.JPG']","['080', '043', '010', '059']","['5', '10', '7', '2']","['04-11', '04-11', '04-11', '00-03']","""04-11"""
107,"['076A03.JPG', '077A01.JPG', '038A01.JPG', '008A03.JPG']","['076', '077', '038', '008']","['3', '1', '1', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
41,"['037A00.JPG', '082A00.JPG', '021A03.JPG', '024A00.JPG']","['037', '082', '021', '024']","['0', '0', '3', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
95,"['073A01.JPG', '037A02.JPG', '081A03.JPG', '041A00.JPG']","['073', '037', '081', '041']","['1', '2', '3', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
14,"['041A24.JPG', '082A20.JPG', '044A13.JPG', '010A16.JPG']","['041', '082', '044', '010']","['24', '20', '13', '16']","['17-24', '17-24', '12-16', '12-16']","""17-24"""
28,"['078A11.JPG', '081A05.JPG', '036A00.JPG', '079A10.JPG']","['078', '081', '036', '079']","['11', '5', '0', '10']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
148,"['030A18.JPG', '082A23.JPG', '054A10.JPG', '043A19.JPG']","['030', '082', '054', '043']","['18', '23', '10', '19']","['17-24', '17-24', '04-11', '17-24']","""17-24"""
18,"['004A48.JPG', '006A51.JPG', '032A18.JPG', '022A07.JPG']","['004', '006', '032', '022']","['48', '51', '18', '7']","['41+', '41+', '17-24', '04-11']","""41+"""
147,"['017A29.JPG', '002A38.JPG', '011A13.JPG', '037A11.JPG']","['017', '002', '011', '037']","['29', '38', '13', '11']","['25-40', '25-40', '12-16', '04-11']","""25-40"""
90,"['034A44.JPG', '006A55.JPG', '072A11.JPG', '035A07.JPG']","['034', '006', '072', '035']","['44', '55', '11', '7']","['41+', '41+', '04-11', '04-11']","""41+"""
46,"['066A06a.JPG', '053A10.JPG', '079A02.JPG', '080A02.JPG']","['066', '053', '079', '080']","['6', '10', '2', '2']","['04-11', '04-11', '00-03', '00-03']","""04-11"""
76,"['069A06.JPG', '009A05.JPG', '036A01.JPG', '015A09.JPG']","['069', '009', '036', '015']","['6', '5', '1', '9']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
145,"['077A15.JPG', '035A14.JPG', '034A04.JPG', '064A10.JPG']","['077', '035', '034', '064']","['15', '14', '4', '10']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
177,"['028A16.JPG', '050A14.JPG', '038A13.JPG', '031A07.JPG']","['028', '050', '038', '031']","['16', '14', '13', '7']","['12-16', '12-16', '12-16', '04-11']","""12-16"""
197,"['011A30.JPG', '029A33.JPG', '037A18.JPG', '022A23.JPG']","['011', '029', '037', '022']","['30', '33', '18', '23']","['25-40', '25-40', '17-24', '17-24']","""25-40"""
190,"['026A17.JPG', '030A17.JPG', '047A18.JPG', '060A20.JPG']","['026', '030', '047', '060']","['17', '17', '18', '20']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
78,"['039A45.JPG', '003A61.JPG', '073A16.JPG', '009A18.JPG']","['039', '003', '073', '009']","['45', '61', '16', '18']","['41+', '41+', '12-16', '17-24']","""41+"""
17,"['074A02.JPG', '044A03.JPG', '066A00.JPG', '081A02.JPG']","['074', '044', '066', '081']","['2', '3', '0', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
147,"['017A29.JPG', '002A38.JPG', '011A13.JPG', '037A11.JPG']","['017', '002', '011', '037']","['29', '38', '13', '11']","['25-40', '25-40', '12-16', '04-11']","""25-40"""
102,"['004A53.JPG', '006A46.JPG', '028A18.JPG', '036A15.JPG']","['004', '006', '028', '036']","['53', '46', '18', '15']","['41+', '41+', '17-24', '12-16']","""41+"""
119,"['040A03b.JPG', '052A02.JPG', '033A02.JPG', '080A03.JPG']","['040', '052', '033', '080']","['3', '2', '2', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
79,"['063A33.JPG', '018A28.JPG', '023A07.JPG', '022A20.JPG']","['063', '018', '023', '022']","['33', '28', '7', '20']","['25-40', '25-40', '04-11', '17-24']","""25-40"""
43,"['071A27.JPG', '033A39.JPG', '020A20.JPG', '016A01.JPG']","['071', '033', '020', '016']","['27', '39', '20', '1']","['25-40', '25-40', '17-24', '00-03']","""25-40"""
90,"['034A44.JPG', '006A55.JPG', '072A11.JPG', '035A07.JPG']","['034', '006', '072', '035']","['44', '55', '11', '7']","['41+', '41+', '04-11', '04-11']","""41+"""
108,"['071A43.JPG', '006A67.JPG', '073A02.JPG', '075A05.JPG']","['071', '006', '073', '075']","['43', '67', '2', '5']","['41+', '41+', '00-03', '04-11']","""41+"""
