,img_name,subject,age,age_group,age_group_bag
25,"['029A29.JPG', '014A40.JPG', '020A36.JPG', '072A29.JPG']","['029', '014', '020', '072']","['29', '40', '36', '29']","['25-40', '25-40', '25-40', '25-40']","""25-40"""
38,"['029A23.JPG', '054A18.JPG', '026A00.JPG', '075A03.JPG']","['029', '054', '026', '075']","['23', '18', '0', '3']","['17-24', '17-24', '00-03', '00-03']","""17-24"""
30,"['003A47.JPG', '047A45.JPG', '004A21.JPG', '072A14.JPG']","['003', '047', '004', '072']","['47', '45', '21', '14']","['41+', '41+', '17-24', '12-16']","""41+"""
145,"['078A12.JPG', '072A13.JPG', '070A05.JPG', '073A16.JPG']","['078', '072', '070', '073']","['12', '13', '5', '16']","['12-16', '12-16', '04-11', '12-16']","""12-16"""
45,"['029A16.JPG', '080A13.JPG', '031A06.JPG', '060A07.JPG']","['029', '080', '031', '060']","['16', '13', '6', '7']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
169,"['008A16.JPG', '002A15.JPG', '011A11.JPG', '074A05.JPG']","['008', '002', '011', '074']","['16', '15', '11', '5']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
109,"['008A35.JPG', '067A28.JPG', '076A12.JPG', '016A14.JPG']","['008', '067', '076', '016']","['35', '28', '12', '14']","['25-40', '25-40', '12-16', '12-16']","""25-40"""
125,"['079A01.JPG', '013A00.JPG', '074A01.JPG', '034A02.JPG']","['079', '013', '074', '034']","['1', '0', '1', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
58,"['070A09.JPG', '081A07.JPG', '059A02a.JPG', '053A04.JPG']","['070', '081', '059', '053']","['9', '7', '2', '4']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
119,"['035A01.JPG', '076A01.JPG', '041A00.JPG', '077A01.JPG']","['035', '076', '041', '077']","['1', '1', '0', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
