ordinal_method,mil_method,data_set_type,data_set_name,batch_size,learning_rate,epochs,pooling_mode,file
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=0,1,0.01,75,max,ds=fgnet_bag_wr=0.5_size=4_i=0__or=coral_mil=cap-mi-net_pool=max_lr=0.01_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=0,1,0.01,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=0__or=coral_mil=cap-mi-net_pool=mean_lr=0.01_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=0,1,0.001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=0__or=coral_mil=cap-mi-net_pool=max_lr=0.001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=0,1,0.001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=0__or=coral_mil=cap-mi-net_pool=mean_lr=0.001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=0,1,0.0001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=0__or=coral_mil=cap-mi-net_pool=max_lr=0.0001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=0,1,0.0001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=0__or=coral_mil=cap-mi-net_pool=mean_lr=0.0001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=1,1,0.01,75,max,ds=fgnet_bag_wr=0.5_size=4_i=1__or=coral_mil=cap-mi-net_pool=max_lr=0.01_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=1,1,0.01,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=1__or=coral_mil=cap-mi-net_pool=mean_lr=0.01_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=1,1,0.001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=1__or=coral_mil=cap-mi-net_pool=max_lr=0.001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=1,1,0.001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=1__or=coral_mil=cap-mi-net_pool=mean_lr=0.001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=1,1,0.0001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=1__or=coral_mil=cap-mi-net_pool=max_lr=0.0001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=1,1,0.0001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=1__or=coral_mil=cap-mi-net_pool=mean_lr=0.0001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=2,1,0.01,75,max,ds=fgnet_bag_wr=0.5_size=4_i=2__or=coral_mil=cap-mi-net_pool=max_lr=0.01_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=2,1,0.01,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=2__or=coral_mil=cap-mi-net_pool=mean_lr=0.01_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=2,1,0.001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=2__or=coral_mil=cap-mi-net_pool=max_lr=0.001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=2,1,0.001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=2__or=coral_mil=cap-mi-net_pool=mean_lr=0.001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=2,1,0.0001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=2__or=coral_mil=cap-mi-net_pool=max_lr=0.0001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=2,1,0.0001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=2__or=coral_mil=cap-mi-net_pool=mean_lr=0.0001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=3,1,0.01,75,max,ds=fgnet_bag_wr=0.5_size=4_i=3__or=coral_mil=cap-mi-net_pool=max_lr=0.01_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=3,1,0.01,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=3__or=coral_mil=cap-mi-net_pool=mean_lr=0.01_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=3,1,0.001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=3__or=coral_mil=cap-mi-net_pool=max_lr=0.001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=3,1,0.001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=3__or=coral_mil=cap-mi-net_pool=mean_lr=0.001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=3,1,0.0001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=3__or=coral_mil=cap-mi-net_pool=max_lr=0.0001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=3,1,0.0001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=3__or=coral_mil=cap-mi-net_pool=mean_lr=0.0001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=4,1,0.01,75,max,ds=fgnet_bag_wr=0.5_size=4_i=4__or=coral_mil=cap-mi-net_pool=max_lr=0.01_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=4,1,0.01,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=4__or=coral_mil=cap-mi-net_pool=mean_lr=0.01_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=4,1,0.001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=4__or=coral_mil=cap-mi-net_pool=max_lr=0.001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=4,1,0.001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=4__or=coral_mil=cap-mi-net_pool=mean_lr=0.001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=4,1,0.0001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=4__or=coral_mil=cap-mi-net_pool=max_lr=0.0001_epochs=75.csv
CORAL,CAP_MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=4,1,0.0001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=4__or=coral_mil=cap-mi-net_pool=mean_lr=0.0001_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=0,1,0.01,75,max,ds=fgnet_bag_wr=0.5_size=4_i=0__or=coral_mil=mi-net_pool=max_lr=0.01_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=0,1,0.01,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=0__or=coral_mil=mi-net_pool=mean_lr=0.01_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=0,1,0.001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=0__or=coral_mil=mi-net_pool=max_lr=0.001_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=0,1,0.001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=0__or=coral_mil=mi-net_pool=mean_lr=0.001_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=0,1,0.0001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=0__or=coral_mil=mi-net_pool=max_lr=0.0001_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=0,1,0.0001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=0__or=coral_mil=mi-net_pool=mean_lr=0.0001_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=1,1,0.01,75,max,ds=fgnet_bag_wr=0.5_size=4_i=1__or=coral_mil=mi-net_pool=max_lr=0.01_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=1,1,0.01,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=1__or=coral_mil=mi-net_pool=mean_lr=0.01_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=1,1,0.001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=1__or=coral_mil=mi-net_pool=max_lr=0.001_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=1,1,0.001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=1__or=coral_mil=mi-net_pool=mean_lr=0.001_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=1,1,0.0001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=1__or=coral_mil=mi-net_pool=max_lr=0.0001_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=1,1,0.0001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=1__or=coral_mil=mi-net_pool=mean_lr=0.0001_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=2,1,0.01,75,max,ds=fgnet_bag_wr=0.5_size=4_i=2__or=coral_mil=mi-net_pool=max_lr=0.01_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=2,1,0.01,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=2__or=coral_mil=mi-net_pool=mean_lr=0.01_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=2,1,0.001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=2__or=coral_mil=mi-net_pool=max_lr=0.001_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=2,1,0.001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=2__or=coral_mil=mi-net_pool=mean_lr=0.001_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=2,1,0.0001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=2__or=coral_mil=mi-net_pool=max_lr=0.0001_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=2,1,0.0001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=2__or=coral_mil=mi-net_pool=mean_lr=0.0001_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=3,1,0.01,75,max,ds=fgnet_bag_wr=0.5_size=4_i=3__or=coral_mil=mi-net_pool=max_lr=0.01_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=3,1,0.01,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=3__or=coral_mil=mi-net_pool=mean_lr=0.01_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=3,1,0.001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=3__or=coral_mil=mi-net_pool=max_lr=0.001_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=3,1,0.001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=3__or=coral_mil=mi-net_pool=mean_lr=0.001_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=3,1,0.0001,75,max,ds=fgnet_bag_wr=0.5_size=4_i=3__or=coral_mil=mi-net_pool=max_lr=0.0001_epochs=75.csv
CORAL,MI_NET,FGNET,fgnet_bag_wr=0.5_size=4_i=3,1,0.0001,75,mean,ds=fgnet_bag_wr=0.5_size=4_i=3__or=coral_mil=mi-net_pool=mean_lr=0.0001_epochs=75.csv
